순서,지명(영문),지명(한국어),국가/지역,도착(작중 날짜),출발(작중 날짜),다음 구간 이동수단,선박/노선,위도,경도,여정 일차(10/2=0),일정 상태,사건 요약
21,Fort Bridger,포트 브리저,USA,1872-12-06 22:00,1872-12-06,철도 (rail),유니언 퍼시픽,41.3186,-110.3879,65,,"와이오밍 준주 진입, 비터크리크 계곡"
22,Green River station,그린리버 역,USA,1872-12-07,1872-12-07,철도 (rail),유니언 퍼시픽,41.5286,-109.4662,66,,폭설. 아우다가 프록터 대령을 알아봄
23,Medicine Bow bridge,메디신보 다리,USA,1872-12-07,1872-12-07,철도 (rail),유니언 퍼시픽,41.9,-106.2,66,,무너지는 다리를 전속력으로 건넘
24,Plum Creek / near Fort Kearney (Nebraska),플럼크리크 / 포트 커니 부근 (네브래스카),USA,1872-12-08,1872-12-08,철도 (rail),유니언 퍼시픽,40.7807,-99.7418,67,,수족(Sioux)의 열차 습격. 파스파르투가 객차를 분리하다 붙잡힘
25,Fort Kearney,포트 커니,USA,1872-12-08,1872-12-09,풍력 썰매 (wind-sledge) → 철도,머지의 돛단 썰매로 오마하까지,40.6519,-99.0126,67,20시간 지연,포그가 병사들과 파스파르투 구출 → 열차 놓침 → 돛단 썰매 전세
26,Omaha,오마하,USA,1872-12-09,1872-12-09,철도 (rail),시카고행 열차,41.2565,-95.9345,68,,
27,Chicago,시카고,USA,1872-12-10,1872-12-10,철도 (rail),피츠버그–포트웨인–시카고 철도,41.8781,-87.6298,69,,
28,New York,뉴욕,USA,1872-12-11 23:15,1872-12-12,증기선 (steamer),전세선 「헨리에타」호 (스피디 선장),40.7128,-74.006,70,45분 차이로 「차이나」호 놓침,리버풀행 「차이나」호를 45분 차로 놓침. 「헨리에타」호를 사실상 탈취해 보르도행→리버풀로 변침. 연료가 떨어져 상부 구조물을 태움
29,Queenstown (Cobh),퀸스타운 (코브),Ireland,1872-12-21 (해안은 12/20),1872-12-21,철도 + 연락선,더블린행 급행 → 리버풀행 고속 우편선,51.8503,-8.2967,80,우편 경로로 12시간 벌기 시도,아일랜드 해안·패스넷 등대 확인. 우편선 경로로 갈아탐
30,Dublin,더블린,Ireland,1872-12-21,1872-12-21,연락선 (fast mail boat),고속 우편선,53.3498,-6.2603,80,,
31,Liverpool,리버풀,England / UK,1872-12-21 11:40,1872-12-21 14:33,철도 (rail),런던행 급행,53.4084,-2.9916,80,,픽스가 포그를 은행 강도로 오인 체포 → 진범 검거로 14:33 석방
32,London — Reform Club,런던 — 리폼 클럽,England / UK,1872-12-21 20:50 (본인 착각),,도착 — 여정 종료,,51.5074,-0.1395,80,실제로는 금요일 12/20 = 79일째,"동쪽으로 돌아 '하루'를 벌었음(180도 자오선 통과). 파스파르투 덕에 깨닫고 20:44:59에 클럽 도착 → 내기 승리, 79일 만에 세계일주. 아우다와 결혼"
