순서,지명(영문),지명(한국어),등장 Book,사건 요약,전통적 비정 위치,위도,경도,확실성,머문 기간/소요
11,Land of the Cimmerians / edge of Ocean (Erebus),킴메르인의 땅 · 오케아노스의 끝(에레보스),XI,"세계를 감싼 대양의 끝, 구름과 어둠에 덮인 곳. 구덩이 앞에서 죽은 자들의 혼을 불러 예언을 들음(네퀴아)","아베르누스호 · 쿠마이, 캄파니아, 이탈리아 — 로마 전통의 비정 (호메로스는 '대양 너머 서쪽 끝')",40.841,14.075,신화 · 위치 불명(전통적 비정),1일 항해
12,Aeaea (return),아이아이에(재방문),XII,키르케의 섬으로 돌아와 엘페노르를 매장하고 마지막 항해 지침을 받음,"몬테 치르체오, 이탈리아",41.24,13.089,신화 · 전통적 비정,짧게
13,Island of the Sirens,세이렌의 섬,XII,치명적인 노래. 부하들의 귀를 밀랍으로 막고 오디세우스는 돛대에 묶여 통과,"시레누세(리 갈리) 군도, 포시타노 앞바다, 이탈리아 — 전통적 비정",40.578,14.431,신화 · 전통적 비정,당일 통과
14,Scylla and Charybdis (the strait),스킬라와 카립디스(해협),XII,"여섯 머리 괴물 스킬라가 부하 6명을 낚아챔, 소용돌이 카립디스를 피해 해협 통과","메시나 해협(시칠리아–칼라브리아 사이), 이탈리아 — 전통적 비정",38.243,15.632,신화 · 전통적 비정,당일 통과
15,Thrinacia (island of the Sun / Hyperion),트리나키아(태양신 헬리오스의 섬),XII,역풍에 한 달간 묶임 → 굶주린 부하들이 태양신의 소를 잡아먹음(금기 위반). Book XII 서문은 '시칠리아 도착'으로 명시,"시칠리아(동해안, 타오르미나 부근) — 전통적 비정 (Trinacria = 시칠리아의 옛 이름)",37.852,15.288,신화 · 전통적 비정,역풍 1개월 · 소 6일 도살
16,Shipwreck near Charybdis,카립디스 부근 난파,XII,"출항 직후 제우스의 벼락으로 배 파괴, 전 부하 익사. 오디세우스만 용골에 매달려 카립디스로 역류, 무화과나무를 붙잡고 생존",메시나 해협 부근,38.22,15.61,신화 · 전통적 비정,이후 9일 표류
17,Ogygia (island of Calypso),오기기아(칼립소의 섬),XII / V,9일 표류 후 도착. 여신 칼립소가 7년간 붙잡아 둠. 제우스의 명으로 헤르메스가 석방을 전달,"고조섬, 몰타 — 전통적 비정 (대양 서쪽 끝이라는 설도 있음)",36.045,14.251,신화 · 위치 불명(전통적 비정),7년
18,(raft voyage Ogygia → Scheria),(뗏목 항해: 오기기아 → 스케리아),V,"직접 만든 뗏목으로 출항, 17~18일 항해, 포세이돈의 폭풍에 뗏목 파괴, 이틀간 헤엄쳐 상륙",이오니아해 항로,37.0,17.0,항로(지점 아님),17~18일 + 이틀 표류
19,Scheria (Phaeacia),스케리아(파이아케스의 땅),VI–XIII,"파이아케스족의 나라, 알키노오스 왕. 표착 후 환대받고 자신의 모험담을 들려줌. 파이아케스의 배로 마침내 귀향","케르키라(코르푸)섬, 그리스 — 전통적 비정",39.624,19.922,신화 · 전통적 비정,며칠 환대
20,Ithaca (harbour of Phorcys),이타카(포르키스 항),XIII,파이아케스의 배가 잠든 오디세우스를 이타카의 포르키스 항 · 나이아데스 동굴 부근에 내려놓음. 10년 만의 귀향,"이타키섬, 이오니아 제도, 그리스 (일부 학자는 케팔로니아/팔리키 반도설)",38.402,20.712,실제 지명(정확한 위치는 이설),도착 — 여정 종료
